"","age","drinks","drugs","height","orientation","sex","sign","ethnicity"
"1",22,"socially","never",75,"straight","m","gemini","mixed"
"2",35,"often","sometimes",70,"straight","m","cancer","white"
"5",29,"socially","never",66,"straight","m","aquarius","mixed"
"7",32,"socially","never",65,"straight","f","virgo","mixed"
"8",31,"socially","never",65,"straight","f","sagittarius","white"
"10",37,"not at all","never",65,"straight","m","cancer","white"
"12",28,"socially","never",72,"straight","m","leo","white"
"15",29,"socially","never",62,"straight","f","taurus","mixed"
"18",26,"socially","never",64,"straight","f","aries","hispanic / latin"
"19",31,"rarely","never",71,"straight","m","libra","white"
"20",33,"socially","never",72,"straight","m","pisces","white"
"21",27,"socially","never",67,"straight","f","libra","white"
"23",30,"socially","never",69,"straight","m","sagittarius","white"
"24",30,"not at all","never",71,"straight","m","aquarius","white"
"25",33,"socially","sometimes",73,"straight","m","scorpio","white"
"26",28,"rarely","never",70,"straight","m","gemini","mixed"
"27",22,"socially","never",72,"straight","m","leo","mixed"
"28",22,"socially","never",67,"straight","m","leo","asian"
"30",32,"socially","sometimes",68,"straight","m","leo","white"
"33",38,"socially","never",67,"straight","f","libra","white"
"35",27,"socially","never",69,"straight","m","sagittarius","white"
"37",32,"socially","never",69,"straight","m","cancer","white"
"43",30,"often","sometimes",75,"straight","m","gemini","white"
"45",29,"socially","sometimes",66,"bisexual","f","aquarius","white"
"46",27,"socially","never",69,"straight","m","aquarius","mixed"
"48",28,"often","sometimes",70,"straight","m","libra","white"
"50",26,"socially","never",66,"straight","f","taurus","white"
"51",33,"often","sometimes",66,"gay","f","taurus","white"
"56",33,"socially","never",70,"gay","m","pisces","white"
"59",22,"socially","sometimes",70,"straight","m","pisces","mixed"
"61",31,"socially","never",67,"straight","m","gemini","mixed"
"63",31,"socially","sometimes",70,"straight","m","cancer","white"
"65",28,"socially","never",72,"straight","m","virgo","hispanic / latin"
"67",22,"rarely","never",65,"straight","m","virgo","asian"
"68",30,"rarely","sometimes",66,"straight","f","aries","mixed"
"70",29,"socially","sometimes",76,"gay","m","scorpio","white"
"71",25,"rarely","never",62,"straight","f","pisces","white"
"73",35,"socially","sometimes",73,"straight","m","pisces","mixed"
"74",31,"socially","never",61,"straight","f","libra","indian"
"77",26,"often","sometimes",72,"straight","m","capricorn","white"
"78",25,"socially","never",65,"bisexual","f","leo","white"
"81",28,"often","never",67,"straight","f","cancer","white"
"84",32,"socially","never",64,"gay","f","pisces","mixed"
"91",24,"socially","never",74,"straight","m","cancer","black"
"95",29,"socially","sometimes",67,"straight","m","libra","white"
"99",31,"socially","sometimes",66,"straight","f","pisces","white"
"100",46,"socially","never",72,"straight","m","taurus","black"
"103",41,"socially","often",69,"straight","m","libra","white"
"104",39,"socially","sometimes",70,"straight","m","leo","white"
"105",31,"socially","never",63,"straight","f","scorpio","white"
"106",42,"socially","never",65,"straight","f","aries","white"
"107",45,"socially","never",64,"straight","f","aries","asian"
"108",21,"rarely","never",72,"straight","m","aries","white"
"109",28,"socially","never",64,"straight","f","aries","mixed"
"114",23,"rarely","never",66,"straight","f","capricorn","mixed"
"115",36,"often","sometimes",70,"straight","m","aries","white"
"116",35,"socially","never",72,"straight","m","aquarius","white"
"118",55,"not at all","never",67,"straight","m","leo","white"
"119",21,"not at all","never",65,"straight","f","capricorn","mixed"
"121",24,"socially","never",71,"straight","m","aquarius","white"
"122",50,"socially","never",75,"straight","m","gemini","white"
"123",23,"socially","sometimes",66,"straight","m","cancer","white"
"124",21,"socially","often",70,"straight","m","sagittarius","mixed"
"125",27,"socially","never",62,"bisexual","f","aries","white"
"127",43,"socially","never",73,"straight","m","virgo","white"
"129",26,"often","never",71,"straight","m","libra","white"
"131",30,"socially","sometimes",69,"straight","m","gemini","white"
"132",32,"socially","never",68,"straight","f","leo","white"
"138",50,"often","never",73,"straight","m","libra","white"
"139",32,"not at all","never",67,"straight","m","cancer","asian"
"142",59,"socially","never",73,"straight","m","libra","white"
"143",36,"often","sometimes",73,"straight","m","taurus","white"
"146",24,"socially","never",67,"straight","m","scorpio","mixed"
"147",28,"very often","often",70,"straight","m","sagittarius","asian"
